fact
"1. It is a myth that dogs are color blind. They can actually see in color, just not as vividly as humans. It is akin to our vision at dusk."
2. Dogs DO have better low-light vision than humans because of a special light-reflecting layer behind their retinas
3. A German Shepherd guide dog led her blind companion the entire 2100 mile Appalachian Trail
"4. If never spayed or neutered, a female dog, her mate, and their puppies could produce over 66,000 dogs in 6 years!"
5. Dogs’ only sweat glands are between their paw pads
"6. Like human babies, Chihuahuas are born with a soft spot in their skull which closes with age"
7. The breed Lundehune has 6 toes and can close its ears
"8. Teddy Roosevelt’s dog, Pete, ripped a French ambassador’s pants off at the White House"
9. President Lyndon Johnson had two beagles named Him and Her
"10. Franklin Roosevelt spent $15,000 for a destroyer to pick up his Scottie in the Aleutian Islands"
"11. In Roman times, mastiffs donned light armor and were sent after mounted knights"
12. The Russians trained dogs during WWII to run suicide missions with mines strapped to their backs
13. A dog’s mouth exerts 150-200 pounds of pressure per square inch
14. … with some dogs exerting up to 450 pounds per square inch.
"15. A one year old dog is as mature, physically, as a 15 year old human"
16. The U.S. has the highest dog population in the world
17. France has the 2nd highest
18. The average city dog lives 3 years longer than a country dog
19. 87% of dog owners say their dog curls up beside them or at their feet while they watch T.V.
20. Dogs can be trained to detect epileptic seizures
21. 15 people die in the U.S. every year from dog bites
"22. In 2002 alone, more people in the U.S. were killed by dogs than by sharks in the past 100 years"
23. Gidget is the name of the Taco Bell dog
24. Newfoundlands are great swimmers because of their webbed feet
25. Basset Hounds cannot swim
"26. Greyhounds are the fastest dogs on earth, with speeds of up to 45 miles per hour"
27. Bingo is the name of the dog on the side of the Cracker Jack box
28. The bible mentions dogs 14 times
"29. Three dogs survived the sinking of the Titanic – a Newfoundland, a Pomeranian, and a Pekingese"
"30. The Labrador Retriever is the #1 favorite breed in the U.S., Canada, and the U.K."
31. Obesity is the #1 health problem among dogs
"32. An estimated 1,000,000 dogs in the U.S. have been named as the primary beneficiaries in their owner’s will"
"33. An American Animal Hospital Assoc. poll found that 33% of dog owners admit to talking to their dogs on the phone and leaving answering mac34. Dog’s nose prints are as unique as a human’s finger prints and can be used to accurately identify them
hine messages for them while away"
34. Dog’s nose prints are as unique as a human’s finger prints and can be used to accurately identify them
"35. At the end of the Beatles’ song “A Day in the Life”, a high-pitched dog whistle was recorded by Paul McCartney for his sheepdog"
36. 70% of people sign their pet’s name on greeting and holiday cards
37. 58% put pets in family and holiday portraits
39. The phrase “raining cats and dogs” originated in 17th century England when it is believed that many cats and dogs drowned during heavy periods of rain.
40. Dogs have no sense of “time”
"41. Humans have kept dogs as pets for over 12,000 years"
"44. The St. Bernard is the heaviest45. Only dogs and humans have prostates
"
53. Dachshunds were originally bred for fighting badgers
61. All dogs are identical in anatomy – 321 bones and 42 permanent teeth
"72. U.S. Customs dogs “Rocky” and “Barco” were so good at patrolling the border that Mexican drug lords put a $300,000 bounty on their heads"
73. Dogs are all direct descendants of wolves
"79. Humans can detect sounds at 20,000 times per second, while dogs can sense frequencies of 30,000 times per second."
99. Dogs with little human contact in the first three months typically don’t make good pets
